wavelength,reflectivity,transmissivity,R_plus_T,A,bragg_prediction,normalized_wavelength
400.0,0.9994483957122815,0.0005516042877198909,1.0000000000000013,-1.3322676295501878e-15,No,0.8865248226950355
410.2040816326531,0.9999998786594438,1.2134055562646234e-07,0.9999999999999994,5.551115123125783e-16,Yes,0.909140251845419
420.40816326530614,0.9999999980120104,1.9879900550943364e-09,1.0000000000000004,-4.440892098500626e-16,Yes,0.9317556809958026
430.61224489795916,0.999999999821114,1.788859306144966e-10,0.9999999999999999,1.1102230246251565e-16,Yes,0.9543711101461861
440.81632653061223,0.9999999999525686,4.743195420021615e-11,1.0000000000000007,-6.661338147750939e-16,Yes,0.9769865392965696
451.0204081632653,0.9999999999717146,2.8284493820872185e-11,0.9999999999999991,8.881784197001252e-16,Yes,0.9996019684469533
461.2244897959184,0.9999999999669309,3.3069069490966623e-11,1.0,0.0,Yes,1.0222173975973368
471.42857142857144,0.9999999999290452,7.095387912849106e-11,0.9999999999999991,8.881784197001252e-16,Yes,1.0448328267477205
481.63265306122446,0.9999999997243041,2.756947955562618e-10,0.9999999999999989,1.1102230246251565e-15,Yes,1.067448255898104
491.83673469387753,0.9999999979710976,2.028902103308269e-09,0.9999999999999998,2.220446049250313e-16,Yes,1.0900636850484875
502.0408163265306,0.9999999673764257,3.262357426988396e-08,1.0,0.0,No,1.112679114198871
512.2448979591836,0.999998286701022,1.7132989787474196e-06,1.0000000000000007,-6.661338147750939e-16,No,1.1352945433492545
522.4489795918367,0.9977304964282663,0.0022695035717343933,1.0000000000000007,-6.661338147750939e-16,No,1.1579099724996382
532.6530612244898,0.20073227130065985,0.7992677286993461,1.000000000000006,-5.995204332975845e-15,No,1.1805254016500217
542.8571428571429,0.01841400026815634,0.9815859997318614,1.0000000000000178,-1.7763568394002505e-14,No,1.2031408308004055
553.0612244897959,0.6395126329124406,0.36048736708756746,1.000000000000008,-7.993605777301127e-15,No,1.2257562599507887
563.2653061224489,0.6410667138160219,0.358933286183988,1.0000000000000098,-9.769962616701378e-15,No,1.2483716891011722
573.469387755102,0.0885074752322217,0.9114925247677843,1.000000000000006,-5.995204332975845e-15,No,1.270987118251556
583.6734693877551,0.6128448943113973,0.387155105688608,1.0000000000000053,-5.329070518200751e-15,No,1.2936025474019395
593.8775510204082,0.03092322815910262,0.9690767718408972,0.9999999999999999,1.1102230246251565e-16,No,1.3162179765523232
604.0816326530612,0.5492468249084159,0.4507531750915858,1.0000000000000018,-1.7763568394002505e-15,No,1.3388334057027067
614.2857142857142,0.1787309798879925,0.821269020112021,1.0000000000000135,-1.354472090042691e-14,No,1.36144883485309
624.4897959183673,0.3993240031285944,0.6006759968714139,1.0000000000000084,-8.43769498715119e-15,No,1.3840642640034737
634.6938775510204,0.4278031287408302,0.5721968712591731,1.0000000000000033,-3.3306690738754696e-15,No,1.4066796931538572
644.8979591836735,0.03975395633124893,0.9602460436687621,1.000000000000011,-1.1102230246251565e-14,No,1.429295122304241
655.1020408163265,0.47734422647953023,0.5226557735204799,1.0000000000000102,-1.021405182655144e-14,No,1.4519105514546244
665.3061224489795,0.2587075903399363,0.7412924096600663,1.0000000000000027,-2.6645352591003757e-15,No,1.474525980605008
675.5102040816327,0.12115572890825575,0.8788442710917554,1.000000000000011,-1.1102230246251565e-14,No,1.4971414097553915
685.7142857142858,0.4560961388130302,0.5439038611869759,1.000000000000006,-5.995204332975845e-15,No,1.5197568389057752
695.9183673469388,0.2571596807623102,0.7428403192377001,1.0000000000000102,-1.021405182655144e-14,No,1.5423722680561587
706.1224489795918,0.05102248230457983,0.9489775176954376,1.0000000000000173,-1.7319479184152442e-14,No,1.5649876972065422
716.3265306122448,0.4045524232623996,0.5954475767376067,1.0000000000000062,-6.217248937900877e-15,No,1.5876031263569257
726.530612244898,0.3643723710347578,0.6356276289652462,1.000000000000004,-3.9968028886505635e-15,No,1.6102185555073094
